Type,Family,Model Name,Input Size,Accuracy
TBD,TBD,convnext_femto_ols.d1_in1k,224,77.844
TBD,TBD,convnext_large.fb_in1k,288,84.862
TBD,TBD,convnext_large.fb_in1k,224,84.298
TBD,TBD,convnext_large.fb_in22k_ft_in1k,288,87.014
TBD,TBD,convnext_large.fb_in22k_ft_in1k,224,86.612
TBD,TBD,convnext_large.fb_in22k_ft_in1k_384,384,87.456
TBD,TBD,convnext_large_mlp.clip_laion2b_augreg_ft_in1k,256,87.336
TBD,TBD,convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384,384,87.89
TBD,TBD,convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320,320,87.97
TBD,TBD,convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,384,88.334
TBD,TBD,convnext_nano.d1h_in1k,288,81.474
TBD,TBD,convnext_nano.d1h_in1k,224,80.762
TBD,TBD,convnext_nano.in12k_ft_in1k,288,82.882
TBD,TBD,convnext_nano.in12k_ft_in1k,224,82.306
TBD,TBD,convnext_nano_ols.d1h_in1k,288,81.612
TBD,TBD,convnext_nano_ols.d1h_in1k,224,80.906
TBD,TBD,convnext_pico.d1_in1k,288,80.43
TBD,TBD,convnext_pico.d1_in1k,224,79.516
TBD,TBD,convnext_pico_ols.d1_in1k,288,80.458
TBD,TBD,convnext_pico_ols.d1_in1k,224,79.542
TBD,TBD,convnext_small.fb_in1k,288,83.704
TBD,TBD,convnext_small.fb_in1k,224,83.144
TBD,TBD,convnext_small.fb_in22k_ft_in1k,288,85.276
TBD,TBD,convnext_small.fb_in22k_ft_in1k,224,84.582
TBD,TBD,convnext_small.fb_in22k_ft_in1k_384,384,85.754
TBD,TBD,convnext_small.in12k_ft_in1k,288,85.324
TBD,TBD,convnext_small.in12k_ft_in1k,224,85.164
TBD,TBD,convnext_small.in12k_ft_in1k_384,384,86.186
TBD,TBD,convnext_tiny.fb_in1k,288,82.694
TBD,TBD,convnext_tiny.fb_in1k,224,82.066
TBD,TBD,convnext_tiny.fb_in22k_ft_in1k,224,82.888
TBD,TBD,convnext_tiny.fb_in22k_ft_in1k,288,78.95
TBD,TBD,convnext_tiny.fb_in22k_ft_in1k_384,384,84.098
TBD,TBD,convnext_tiny.in12k_ft_in1k,288,84.448
TBD,TBD,convnext_tiny.in12k_ft_in1k,224,84.192
TBD,TBD,convnext_tiny.in12k_ft_in1k_384,384,85.154
TBD,TBD,convnext_tiny_hnf.a2h_in1k,288,82.608
TBD,TBD,convnext_tiny_hnf.a2h_in1k,224,82.23
TBD,TBD,convnext_xlarge.fb_in22k_ft_in1k,288,87.374
TBD,TBD,convnext_xlarge.fb_in22k_ft_in1k,224,86.97
TBD,TBD,convnext_xlarge.fb_in22k_ft_in1k_384,384,87.766
TBD,TBD,convnext_xxlarge.clip_laion2b_soup_ft_in1k,256,88.622
TBD,TBD,convnextv2_atto.fcmae_ft_in1k,288,77.79
TBD,TBD,convnextv2_atto.fcmae_ft_in1k,224,76.646
TBD,TBD,convnextv2_base.fcmae_ft_in1k,288,85.49
TBD,TBD,convnextv2_base.fcmae_ft_in1k,224,84.888
TBD,TBD,convnextv2_base.fcmae_ft_in22k_in1k,288,86.998
TBD,TBD,convnextv2_base.fcmae_ft_in22k_in1k,224,86.752
TBD,TBD,convnextv2_base.fcmae_ft_in22k_in1k_384,384,87.638
TBD,TBD,convnextv2_femto.fcmae_ft_in1k,288,79.332
TBD,TBD,convnextv2_femto.fcmae_ft_in1k,224,78.484
TBD,TBD,convnextv2_huge.fcmae_ft_in1k,288,86.618
TBD,TBD,convnextv2_huge.fcmae_ft_in1k,224,86.26
TBD,TBD,convnextv2_huge.fcmae_ft_in22k_in1k_384,384,88.662
TBD,TBD,convnextv2_huge.fcmae_ft_in22k_in1k_512,512,88.86
TBD,TBD,convnextv2_large.fcmae_ft_in1k,288,86.126
TBD,TBD,convnextv2_large.fcmae_ft_in1k,224,85.762
TBD,TBD,convnextv2_large.fcmae_ft_in22k_in1k,288,87.494
TBD,TBD,convnextv2_large.fcmae_ft_in22k_in1k,224,87.264
TBD,TBD,convnextv2_large.fcmae_ft_in22k_in1k_384,384,88.178
TBD,TBD,convnextv2_nano.fcmae_ft_in1k,288,82.496
TBD,TBD,convnextv2_nano.fcmae_ft_in1k,224,81.856
TBD,TBD,convnextv2_nano.fcmae_ft_in22k_in1k,288,82.666
TBD,TBD,convnextv2_nano.fcmae_ft_in22k_in1k,224,82.038
TBD,TBD,convnextv2_nano.fcmae_ft_in22k_in1k_384,384,83.362
TBD,TBD,convnextv2_pico.fcmae_ft_in1k,288,81.056
TBD,TBD,convnextv2_pico.fcmae_ft_in1k,224,80.304
TBD,TBD,convnextv2_tiny.fcmae_ft_in1k,288,83.476
TBD,TBD,convnextv2_tiny.fcmae_ft_in1k,224,82.948
TBD,TBD,convnextv2_tiny.fcmae_ft_in22k_in1k,288,84.422
TBD,TBD,convnextv2_tiny.fcmae_ft_in22k_in1k,224,83.904
TBD,TBD,convnextv2_tiny.fcmae_ft_in22k_in1k_384,384,85.106
TBD,TBD,crossvit_15_240.in1k,240,81.518
TBD,TBD,crossvit_15_dagger_240.in1k,240,82.306
TBD,TBD,crossvit_15_dagger_408.in1k,408,83.84
TBD,TBD,crossvit_18_240.in1k,240,82.386
TBD,TBD,crossvit_18_dagger_240.in1k,240,82.504
TBD,TBD,crossvit_18_dagger_408.in1k,408,84.202
TBD,TBD,crossvit_9_240.in1k,240,73.976
TBD,TBD,crossvit_9_dagger_240.in1k,240,76.986
TBD,TBD,crossvit_base_240.in1k,240,82.228
TBD,TBD,crossvit_small_240.in1k,240,81.04
TBD,TBD,crossvit_tiny_240.in1k,240,73.33
TBD,TBD,cs3darknet_focus_l.c2ns_in1k,288,80.91
TBD,TBD,cs3darknet_focus_l.c2ns_in1k,256,80.252
TBD,TBD,cs3darknet_focus_m.c2ns_in1k,288,77.292
TBD,TBD,cs3darknet_focus_m.c2ns_in1k,256,76.774
TBD,TBD,cs3darknet_l.c2ns_in1k,288,80.888
TBD,TBD,cs3darknet_l.c2ns_in1k,256,80.354
TBD,TBD,cs3darknet_m.c2ns_in1k,288,77.628
TBD,TBD,cs3darknet_m.c2ns_in1k,256,76.982
TBD,TBD,cs3darknet_x.c2ns_in1k,288,82.236
TBD,TBD,cs3darknet_x.c2ns_in1k,256,81.856
TBD,TBD,cs3edgenet_x.c2_in1k,288,82.746
TBD,TBD,cs3edgenet_x.c2_in1k,256,82.214
TBD,TBD,cs3se_edgenet_x.c2ns_in1k,320,83.544
